img,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image.started,text_2.started,image.stopped,text_4.started,text_3.started,key_resp_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,15.910355542087927,15.910355542087927,right,19.446226748870686,,,,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays1.jpg,0,0,0,0,0,0,0,2,,,,,35.47242416697554,35.47242416697554,35.97987666702829,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays6.png,0,0,0,0,0,1,1,7,,,,,36.434998667100444,36.434998667100444,36.94666137499735,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays5.png,0,0,0,0,0,2,2,6,,,,,37.43748937500641,37.43748937500641,37.94624741701409,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays4.png,0,0,0,0,0,3,3,5,,,,,38.43883279198781,38.43883279198781,38.94686158397235,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays7.png,0,0,0,0,0,4,4,8,,,,,39.43939937511459,39.43939937511459,39.94707241700962,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays2.png,0,0,0,0,0,5,5,3,,,,,40.42997183394618,40.42997183394618,40.94645641697571,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays3.png,0,0,0,0,0,6,6,4,,,,,41.43837004201487,41.43837004201487,41.94602654199116,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays1.jpg,0,0,0,0,0,7,7,0,,,,,42.43007912510075,42.43007912510075,42.946619084104896,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays1.jpg,0,0,0,0,0,8,8,1,,,,,43.4302592088934,43.4302592088934,43.945855709025636,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays3.png,0,0,0,0,1,0,9,4,,,,,44.43529550009407,44.43529550009407,44.946800749981776,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays7.png,0,0,0,0,1,1,10,8,,,,,45.43340125004761,45.43340125004761,45.94620283390395,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays6.png,0,0,0,0,1,2,11,7,,,,,46.42920383391902,46.42920383391902,46.926599292084575,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays1.jpg,0,0,0,0,1,3,12,1,,,,,47.41909620910883,47.41909620910883,47.92666087509133,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays5.png,0,0,0,0,1,4,13,6,,,,,48.43620795896277,48.43620795896277,48.9462406670209,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays2.png,0,0,0,0,1,5,14,3,,,,,49.421707834117115,49.421707834117115,49.926839417079464,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
lays/lays1.jpg,0,0,0,0,1,6,15,2,,,,,50.41740250005387,50.41740250005387,50.926850584102795,,,,135001,001,2022-08-20_14h23.45.214,stim_cola,2022.2.3,60.35089514148003,
